Step,front_r_mean,front_g_mean,front_b_mean,left_r_mean,left_g_mean,left_b_mean,right_r_mean,right_g_mean,right_b_mean
0,0.1754759550768676,0.009403732399921205,0.8287635225334542,0.18171260138202275,0.010196824727907738,0.8322691781618851,0.18772991724543275,0.025791803108329573,0.8454420166536338
1,0.1754482461401992,0.009405845135599838,0.8286002109022593,0.1816686810783945,0.010196201575906163,0.832089039086032,0.18767896245908275,0.02552948779218993,0.845268921957738
2,0.17496053337918246,0.009393104957959657,0.8270196380964155,0.18236071017547903,0.01014899947280573,0.8323876787045927,0.1863077757974472,0.02148752134477472,0.8433413283641015
3,0.17352688245150624,0.00952257164531484,0.8247259411083241,0.1857819548188123,0.01004134238535017,0.836159133984645,0.18265274957653796,0.012296236887636494,0.8363205016446492
4,0.1749185884793744,0.009818933991465691,0.8261192223254071,0.19360723120700918,0.009878956676922486,0.8459879449832225,0.17898036380845264,0.0077618347996137515,0.8261835582524545
5,0.17997625607862133,0.010212840649970271,0.8319719417311976,0.19773751230785575,0.01438144599141681,0.8518277181501929,0.17682202320482296,0.008576761430515292,0.8220885430393455
6,0.1863212771678151,0.010481974722536565,0.8403774185128356,0.196419864202761,0.024763080275328194,0.8493430376426315,0.1786030913022649,0.009414720702292302,0.8241120978751963
7,0.19197798144292477,0.013426579483659634,0.8478828350885311,0.19910147150121052,0.03135687482805765,0.8456801369714556,0.18302220709956663,0.010622779968496372,0.8293464904744455
8,0.19075324985090233,0.017612189320723153,0.848037430443403,0.2018896917372837,0.03718163843488392,0.8442279327180419,0.18702622922045578,0.011779326667144187,0.8349074622349798
9,0.18860865328231688,0.022501832769380337,0.8468044166938379,0.2025454128869851,0.037738143849179,0.8433463315747819,0.19184144076020415,0.013317094301366642,0.8411481500683227
10,0.1898245899474451,0.02521017136236597,0.8445972815703319,0.20361441097723623,0.03608036706257276,0.8442190198259549,0.19182184902515578,0.014869543312208668,0.8416232615541396
11,0.18897364283765059,0.02576481001294119,0.8434594645289524,0.20353793588425517,0.035817012829748196,0.8444568544050478,0.19129769579920453,0.015032734458551042,0.8406423423570567
12,0.18776030919234113,0.025860802716931513,0.8426670786599697,0.20353837018132692,0.03563456075052807,0.8448029710653846,0.19078635196680285,0.015174595822674828,0.8397057435519235
13,0.18672424922716135,0.026551156498614798,0.8413194633970256,0.20388642833080425,0.03523618327365423,0.8456106220680742,0.18986758619214075,0.015474132503975488,0.8385468378469637
14,0.1858309982157199,0.027274669003388364,0.8400538518557998,0.20425430757351185,0.03468677443868037,0.8468955112034173,0.18883127035109024,0.015866244745633713,0.83733268925584
15,0.18524556751715404,0.02818741658283636,0.8390019482701704,0.20392326411232195,0.03376341360401771,0.8478863233110836,0.18713771768108167,0.016536489306846116,0.8356271085562249
16,0.1857099179166457,0.029463068735256004,0.8388712473422969,0.2030782462750358,0.032321309905260005,0.8484494365319293,0.1854941073338963,0.017251744923977675,0.8340114379221206
17,0.18294677128337403,0.028380229366323576,0.8379472908096796,0.20179120708759057,0.033094743438693605,0.8475572905831417,0.18548688490970092,0.016320773794528416,0.8325410139869738
18,0.17869174645323674,0.024490570622431835,0.835053336122057,0.19997659223826214,0.03582004986735214,0.8454502621067498,0.1868569618662369,0.015069771363175506,0.8310397530799291
19,0.1802713022205101,0.019879084583621615,0.8338289001968722,0.19237836684028556,0.03639931179286974,0.8408664692230449,0.18468705039300415,0.012894918303503929,0.8248387820234738
20,0.1829961966679955,0.015307397178993558,0.8329417410838014,0.1851886848229051,0.03203630583847975,0.837494275429802,0.1830648601159408,0.012391864980873616,0.8198196124446923
21,0.18425409686409466,0.012634815935292166,0.8315269268412636,0.18157159246943377,0.027382286199245032,0.834071664969754,0.18265439883814272,0.012026712661548611,0.8169867024804316
22,0.18314325674840437,0.010624883811873652,0.8274452393519042,0.18150550283854974,0.023804828805070437,0.8321501185919509,0.18248095481694215,0.011673208260344388,0.8142839405611584
23,0.18051730622005122,0.010477556931420759,0.8219210508206215,0.18282354054634684,0.019597870763593612,0.8305519487141019,0.18251896314428517,0.011440182734104713,0.8124293667275038
24,0.17878369779084632,0.010380453559887008,0.8172343770087932,0.1841608948111035,0.0159314793513616,0.8293877502709762,0.18269733971083857,0.01117923005024571,0.8103234594726012
25,0.1781340712716368,0.010300520739089943,0.8141248936886867,0.1853751634894064,0.012224404160460953,0.8279163599526923,0.18297889479296622,0.011033406765689785,0.8088384938370582
26,0.1775684925080335,0.010205187671561684,0.8102319110507965,0.18522430396489312,0.009585055034761873,0.8245213746907534,0.18361750375945385,0.010844569937788677,0.8065346328580617
27,0.1773896325120361,0.010112724357813704,0.8065759155420111,0.18285421166848448,0.008833390278287032,0.8186703759310231,0.18446213312653514,0.010710627884401988,0.8045037219607797
28,0.17746150655279216,0.010058620751119086,0.8043687405302512,0.18084205171544687,0.008805928000445875,0.814316993834116,0.18510626804317212,0.010626760927459908,0.8032269715909873
29,0.17765307941635192,0.010008703156527425,0.8022837282588192,0.17908439447141478,0.008820661144359827,0.8101946843644331,0.18583256499692702,0.010550028535690226,0.8019719590275146
30,0.1780359274130483,0.009966823719590614,0.8002096235850741,0.1774518127524978,0.008838603479001401,0.8057609730963463,0.18677707780049435,0.010417163116816404,0.8004921093590665
31,0.17850325764534838,0.009914029268827769,0.798155282017828,0.17632917739572043,0.008846534935390607,0.8015648742644675,0.18753234212994063,0.010355911431210587,0.7993653579467622
32,0.17901480462525163,0.009873055393969824,0.7964305568971844,0.175884442616402,0.008856454248592011,0.7990791889362024,0.18810868028389258,0.010290798411915797,0.798477482433702
33,0.1797137481043339,0.00984472815450277,0.79422960695234,0.17517840585462696,0.008855940881271564,0.7952891575949526,0.18910142420053652,0.010212463717404204,0.7968861165277125
