path_no,x(m),y(m)
0,3.320888289908529e-05,0.00010445610190546823
1,3.411475019051476e-05,0.0001071023713608894
2,3.502069955653095e-05,0.000109748881668627
3,3.592673193641982e-05,0.00011239563511068987
4,3.6832846919908e-05,0.00011504263003804608
5,3.773904446115108e-05,0.00011768986636326935
6,3.864532454826448e-05,0.000120337344103656
7,3.9551687169323696e-05,0.00012298506327644156
8,4.0458132312501394e-05,0.00012563302389906125
9,4.1364659965950276e-05,0.00012828122598894896
10,4.227127011778315e-05,0.000130929669563463
11,4.317796275615966e-05,0.0001335783546400493
12,4.40847378692542e-05,0.00013622728123624986
13,4.499159544518738e-05,0.00013887644936943063
14,4.5898535472090225e-05,0.00014152585905701323
15,4.6805557938096355e-05,0.0001441755103164236
16,4.7712662831336794e-05,0.000146825403165121
17,4.86198501399842e-05,0.00014947553762066838
18,4.952711985208198e-05,0.00015212591370025163
19,5.0434471955839236e-05,0.0001547765314216246
20,5.134190643924386e-05,0.00015742739080179196
21,5.22494232904399e-05,0.00016007849185830972
22,5.315702249752974e-05,0.0001627298346085881
23,5.406470404856027e-05,0.00016538141906989568
24,5.497246793165038e-05,0.0001680332452597376
25,5.588031413488251e-05,0.00017068531319548122
26,5.678824264634345e-05,0.0001733376228945929
27,5.769625345409049e-05,0.0001759901743743965
28,5.8604346546206956e-05,0.00017864296765229934
29,5.9512522783198955e-05,0.00018129600548519873
30,6.042078188233952e-05,0.00018394928723428126
31,6.132912350112658e-05,0.00018660281191163204
32,6.223754762689146e-05,0.00018925657953257363
33,6.314605480236667e-05,0.00019191059176797872
34,6.405464490259142e-05,0.0001945648482112273
35,6.496331653915027e-05,0.00019721934477622357
36,6.587207041611979e-05,0.0001998740837539205
37,6.678090660055484e-05,0.00020252906540508593
38,6.768982508028112e-05,0.00020518428974664862
39,6.859882584328222e-05,0.00020783975679601897
40,6.950790887705078e-05,0.00021049546656910697
41,7.041707416942551e-05,0.0002131514190828923
42,7.132632171711391e-05,0.00021580761438149836
43,7.223565234988107e-05,0.0002184640551377755
44,7.314506545669057e-05,0.00022112073961469975
45,7.405456097473763e-05,0.00022377766767321227
46,7.496413889206393e-05,0.0002264348393308845
47,7.587379919671202e-05,0.00022909225460529493
48,7.678354099523426e-05,0.00023174991209376104
49,7.769335681559204e-05,0.00023440780496815133
50,7.8603247336103e-05,0.00023706594019805578
51,7.951321261054443e-05,0.0002397243180012662
52,8.042325262705777e-05,0.00024238293839377222
53,8.133336737366909e-05,0.00024504180139115606
54,8.224355683852068e-05,0.0002477009070094083
55,8.315382100978694e-05,0.0002503602552645717
56,8.406415987571598e-05,0.00025301984617290876
57,8.49745734264962e-05,0.00025567967975658845
58,8.588506166639157e-05,0.00025833975607899304
59,8.679562457178727e-05,0.00026100007511932054
60,8.770626213065302e-05,0.00026366063689301807
61,8.861697433113717e-05,0.00026632144141611235
62,8.952776097074806e-05,0.00026898248842037914
63,9.043861709452736e-05,0.0002716437724464656
64,9.134954270628888e-05,0.0002743052982264209
