Step,front_r_mean,front_g_mean,front_b_mean,left_r_mean,left_g_mean,left_b_mean,right_r_mean,right_g_mean,right_b_mean
0,0.18869794914628799,0.18427991635069707,0.17777193584680542,0.19254556612221765,0.1878488412031616,0.18094915699990385,0.20684664664892713,0.2023405101883907,0.1958479651606638
1,0.18863745058671597,0.18421836118854637,0.17771784357820383,0.19247295679287832,0.18778322368709613,0.1808928133283361,0.2066703128954088,0.2021655902836956,0.19567534228217032
2,0.18816061693788674,0.18376713567922884,0.17731135853521596,0.1921659216541646,0.18749735218456043,0.18063938945043354,0.20556749207273073,0.20108306830267175,0.19457954838194358
3,0.18743389980608058,0.1830713525790533,0.1766631531341761,0.19215595292843637,0.1874900120903518,0.180634590084916,0.20349190377596993,0.1990205216213735,0.1924804584027505
4,0.18684697040844536,0.18252572741187678,0.17617843194111513,0.19239067479461558,0.1877071728408369,0.18082460810938292,0.20022957301783081,0.19572536960094547,0.18912244245238363
5,0.18609312872742476,0.1818186320395332,0.1755399548477556,0.19281985873610238,0.18809857943028682,0.18116302616656035,0.195881771436224,0.19135783979072007,0.18472392671205487
6,0.18595765155707658,0.18170577018066267,0.1754571468058026,0.1935387232431678,0.18875830961292564,0.18173596412597645,0.19216340685870525,0.18765812397660164,0.18105374186198522
7,0.18618880049246558,0.1819311069222951,0.17567523721308678,0.19476359644595234,0.18987919892357943,0.18270273116921767,0.1884297403222499,0.1839863831256011,0.17746830836135288
8,0.18680535952779356,0.18251792351862553,0.17622163735386287,0.19639023929970137,0.19137962230799632,0.18401720056379878,0.18641478135385128,0.18205801586500894,0.17566943811415223
9,0.1876210787968748,0.18328536859906985,0.17691557917321932,0.19840632049536785,0.193247915181461,0.18567059457239057,0.18571294482785616,0.18142787935093727,0.17514160998286432
10,0.18860276122331943,0.18419254694047327,0.1777141851269454,0.19942980901293092,0.19445011301493467,0.18713583451852553,0.18583248362480964,0.18158137425406726,0.17533875058419413
11,0.1905448856231977,0.18600020423471494,0.17932485927962785,0.19849123245171305,0.19393710832601826,0.1872486808070113,0.18649559942538105,0.18224400151288253,0.17600806474828026
12,0.19260745684567912,0.18792718086730842,0.1810545325344212,0.19920512248860178,0.19492544363720218,0.1886473429610782,0.18759358938334944,0.18332045412189532,0.17705418683860694
13,0.19295124312596704,0.1884715593087363,0.1818943426394947,0.20211575681366412,0.1979792915885535,0.19191426260247113,0.18913933291061183,0.1848155002721462,0.17847129566104647
14,0.19177893045152863,0.1876517524264446,0.18159218764751003,0.2045998827174841,0.20048567560784755,0.19445917137155214,0.19130213876056623,0.18689911001082807,0.18043802977870302
15,0.19314134513099127,0.1892354901169512,0.1835100885144971,0.2062056608641242,0.20175279724813203,0.19523667632032782,0.18907678517507917,0.18499688535061465,0.17901123867367352
16,0.1999660712828956,0.19585227452796805,0.18982830229437245,0.20016890172975152,0.19562925364418807,0.18899468120212806,0.18812420293251317,0.18435228419746516,0.17882580042655516
17,0.20194946136408629,0.19770247987551795,0.19148668930946275,0.19918401209943362,0.19467078049179787,0.18808400009686713,0.18797196158293736,0.184303044253736,0.17892618534205226
18,0.2014925345720361,0.19709539398549603,0.1906676586218925,0.198372789771209,0.1938822650432275,0.1873460291330026,0.19070967762377666,0.18698380509840365,0.18152666615010946
19,0.19945848960965495,0.19496996538500133,0.18840730068144876,0.1978711200825605,0.19340538971326673,0.18690816587582523,0.19352617338943845,0.18967966565687486,0.1840542592008874
20,0.19749551849530933,0.19297803617954332,0.186381257820761,0.19773732055035365,0.1932748638592758,0.1867825369421543,0.19588103234741713,0.19192524542207345,0.1861436644940552
21,0.19568154314253375,0.19115088062899235,0.18453781487434318,0.19778798472573755,0.19331245304344594,0.1867998199249826,0.19782487144311567,0.19375713815132822,0.18780340116013494
22,0.19504629040718138,0.19054466984270166,0.18397285934773336,0.19836598934121197,0.1938457075658371,0.1872631285966633,0.1990973103516657,0.19490725958062904,0.18877811373227668
23,0.19420944765332473,0.1897584343203639,0.18326565086586374,0.19914240885381032,0.19457779222630323,0.18790935987528168,0.2001025371263049,0.1957827362171046,0.18946044255984126
24,0.1935918686393716,0.18918618159279377,0.18275490716728227,0.19967475018764347,0.1950709206357928,0.18833720728049283,0.20025484296008647,0.195846962520052,0.1893986157174303
25,0.19315292336947146,0.18877821140432896,0.18240498272646585,0.20016255446788503,0.19553026192115422,0.18874337668626173,0.19972187094417085,0.19533404122847664,0.18891689473882511
26,0.19369152986004068,0.189277302888773,0.18283692630793316,0.19976841524159675,0.19518806630042165,0.18850226636232228,0.19707293332161405,0.192935558696932,0.186888709289139
27,0.19443772950479796,0.18997467802518622,0.183459095120067,0.19927451768611615,0.1947643414046787,0.18819341025641267,0.1904815451008245,0.18665565252271335,0.18105674471396527
28,0.19835524110547356,0.19416649164534042,0.18804316676052713,0.19899996680563803,0.19460163326984084,0.1881897241229805,0.18162857095884125,0.17815506451322946,0.17306509561944394
29,0.192206503376241,0.18827153733868598,0.18251195707074722,0.20287733090230056,0.1986249887885029,0.19240952063177566,0.17994524566008238,0.17649300476337518,0.1714325193972113
30,0.18363087720253515,0.17997184086760876,0.1746125693437888,0.19924060935369617,0.1951300036515677,0.18911092362479417,0.17815523120684765,0.17472541307926892,0.16970299293646054
31,0.18111815704200718,0.17738230165561256,0.1719021823473008,0.1929105553995388,0.18887232472328183,0.18295543338105247,0.1773673213911446,0.1739709427687173,0.16899342861281308
32,0.1775652059991011,0.17400222868241663,0.16877779757244324,0.188781894608241,0.1846693557581189,0.17863762707244035,0.17700707694905515,0.1736192735761036,0.16865286497943113
33,0.1759666218444734,0.17253139463370662,0.16749270254816725,0.18611089440069364,0.1818839392908136,0.17568150876375035,0.17684139556107525,0.1734551450003956,0.16849429084154446
34,0.17512658280249416,0.17176444415450265,0.1668360977824717,0.1807218209031568,0.17685135634325697,0.17117356427221275,0.1766802976775326,0.1732948052782917,0.16834068035076077
